,Race History
,Race #,Speed,Accuracy,Points,Place,Date,Options
359,2351,85 WPM,97.1%,68,2/5,"May 5, 2021",
360,2350,84 WPM,96.6%,64,3/5,"May 5, 2021",
361,2349,83 WPM,97.8%,57,2/5,"May 5, 2021",
362,2348,84 WPM,97.9%,42,4/5,"May 5, 2021",
363,2347,91 WPM,97.9%,59,1/5,"May 5, 2021",
364,2346,83 WPM,98.2%,64,4/5,"May 5, 2021",
365,2345,79 WPM,96.8%,55,4/5,"May 4, 2021",
366,2344,89 WPM,98.6%,53,1/5,"May 4, 2021",
367,2343,75 WPM,96.7%,101,2/4,"May 3, 2021",
368,2342,82 WPM,98.0%,48,3/5,"May 3, 2021",
369,2341,81 WPM,96.5%,83,2/4,"May 3, 2021",
370,2340,72 WPM,96.7%,43,4/5,"May 3, 2021",
371,2339,84 WPM,97.5%,56,3/5,"May 3, 2021",
372,2338,85 WPM,98.2%,54,2/4,"May 3, 2021",
373,2337,88 WPM,98.1%,50,4/5,"May 3, 2021",
374,2336,80 WPM,97.2%,75,2/5,"May 3, 2021",
375,2335,78 WPM,96.7%,61,3/5,"May 3, 2021",
376,2334,86 WPM,97.4%,85,2/5,"May 3, 2021",
377,2333,78 WPM,96.6%,55,1/5,"May 3, 2021",
378,2332,82 WPM,97.9%,89,2/5,"May 3, 2021",
379,2331,81 WPM,97.7%,78,3/5,"May 3, 2021",
380,2330,80 WPM,97.3%,57,1/5,"May 3, 2021",
381,2329,86 WPM,98.3%,50,1/5,"May 3, 2021",
382,2328,90 WPM,98.0%,56,2/5,"May 3, 2021",
383,2327,82 WPM,97.2%,57,3/5,"May 3, 2021",
384,2326,93 WPM,99.4%,50,1/5,"May 3, 2021",
385,2325,82 WPM,97.0%,48,2/5,"May 3, 2021",
386,2324,82 WPM,98.6%,52,2/4,"May 3, 2021",
387,2323,85 WPM,99.0%,62,2/5,"May 3, 2021",
388,2322,83 WPM,96.9%,46,3/5,"May 3, 2021",
389,2321,93 WPM,98.9%,57,1/5,"May 3, 2021",
390,2320,77 WPM,96.6%,53,5/5,"May 3, 2021",
391,2319,77 WPM,96.2%,54,5/5,"May 3, 2021",
392,2318,77 WPM,97.0%,89,3/3,"May 3, 2021",
393,2317,72 WPM,96.0%,41,2/5,"May 3, 2021",
394,2316,74 WPM,97.6%,36,4/5,"May 3, 2021",
395,2315,80 WPM,96.7%,114,2/4,"May 3, 2021",
396,2314,78 WPM,97.7%,43,4/5,"May 3, 2021",
397,2313,95 WPM,98.8%,68,2/5,"May 3, 2021",
398,2312,85 WPM,97.3%,45,2/5,"May 3, 2021",
399,2311,76 WPM,96.3%,42,1/5,"May 3, 2021",
400,2310,93 WPM,98.7%,81,1/5,"May 3, 2021",
401,2309,83 WPM,97.9%,51,2/5,"May 3, 2021",
402,2308,74 WPM,96.6%,56,2/5,"May 3, 2021",
403,2307,75 WPM,97.3%,26,4/5,"May 3, 2021",
404,2306,92 WPM,98.5%,57,1/5,"May 2, 2021",
405,2305,83 WPM,97.7%,68,3/5,"May 2, 2021",
406,2304,79 WPM,97.3%,91,1/5,"May 2, 2021",
407,2303,76 WPM,96.4%,78,2/4,"May 2, 2021",
408,2302,87 WPM,98.3%,30,4/5,"May 2, 2021",
409,2301,77 WPM,97.5%,75,2/5,"May 2, 2021",
410,2300,78 WPM,96.0%,88,3/4,"May 2, 2021",
411,2299,89 WPM,99.0%,56,2/5,"May 2, 2021",
412,2298,83 WPM,97.4%,69,4/5,"May 2, 2021",
413,2297,85 WPM,97.3%,42,1/5,"May 2, 2021",
414,2296,80 WPM,97.1%,72,3/5,"May 2, 2021",
415,2295,80 WPM,97.4%,55,2/5,"May 2, 2021",
416,2294,82 WPM,96.7%,51,2/5,"May 2, 2021",
417,2293,82 WPM,96.7%,51,2/5,"May 2, 2021",
418,2292,80 WPM,97.9%,57,4/5,"May 2, 2021",
419,2291,82 WPM,96.5%,63,4/5,"May 2, 2021",
420,2290,82 WPM,98.2%,70,3/5,"May 2, 2021",
